Name
Thomas McGill
John McGinn
Scott McKenna
Dwight McNeil
Charlie McNeill
Scott McTominay
Ben Mee
Benjamin Mendy
Edouard Mendy
Nampalys Mendy
Teden Mengi
Chris Mepham
Illan Meslier
Luka Milivojevic
Stanley Mills
James Milner
Yerry Mina
Tyrone Mings
Tyrick Mitchell
Kaoru Mitoma
Aleksandar Mitrovic
Jakub Moder
Kieffer Moore
Andrew Moran
Yerson Mosquera
Louie Moulden
Mason Mount
Divin Mubama
Jacob Murphy
Enock Mwepu
Vitaliy Mykolenko
Marvelous Nakamba
Wilfred Ndidi
Reiss Nelson
Nelson Semedo
Neto
Moussa Niakhate
Eddie Nketiah
Christian Norgaard
Darwin Nunez
Ethan Nwaneri
Lewis O'Brien
Oliver O'Neill
Odeluga Offiah
Angelo Ogbonna
Ferdinand Okoh
Michael Olise
Robin Olsen
Amadou Onana
Joshua Onomah
Frank Onyeka
Stefan Ortega
Alex Oxlade-Chamberlain
Martin odegaard
Pablo Fornals
Adrion Pajaziti
Cole Palmer
Thomas Partey
Maksim Paskotsi
Nathan Patterson
Lewis Payne
Ben Pearson
Myles Peart-Harris
Pedro Neto
Facundo Pellistri
Ivan Perisic
Romain Perraud
Cameron Peupion
Kalvin Phillips
Killian Phillips
Nathaniel Phillips
Jordan Pickford
Ethan Pinnock
Nick Pope
Freddie Potts
Dennis Praet
Isaac Price
Christian Pulisic
Calvin Ramsay
Aaron Ramsdale
Jacob Ramsey
Darren Randolph
Marcus Rashford
Tim Ream
Harrison Reed
Bobby Reid
Renan Lodi
Ricardo Pereira
Declan Rice
Chris Richards
Omar Richards
Richarlison
Jairo Riedewald
Matt Ritchie
Robert Sanchez
Roberto Firmino
Andrew Robertson
Antonee Robinson
Charlie Robinson
Marek Rodak
Kaden Rodney
Rodri
Rodrigo
Mads Roerslev Rasmussen
Cristian Romero
Connor Ronan
Salomon Rondon
Joe Rothwell
Ruben Dias
Ruben Neves
Ruben Vinagre
Dominic Sadi
Allan Saint-Maximin
Bukayo Saka
Mo Salah
William Saliba
Mohammed Salisu
Davinson Sanchez
Jadon Sancho
Morgan Sanson
Matija Sarkic
Jeremy Sarmiento
Pape Sarr
Gianluca Scamacca
Fabian Schar
Jeffrey Schlupp
Kristian Sekularac
Marcos Senesi
Sergi Canos
Sergio Gomez
Ryan Sessegnon
Luke Shaw
Jonjo Shelvey
Shola Shoretire
Kamarai Simon-Swyer
Luis Sinisterra
Oliver Skipp
Gabriel Slonina
Adam Smith
Jackson Smith
Jordan Smith
Matt Smith
Emile Smith Rowe
Alex Smithies
Dominic Solanke
Manor Solomon
Heung-min Son
Tomas Soucek
Boubakary Soumare
Lino Sousa
Caglar Soyuncu
Djed Spence
Jack Spong
Jack Stacey
Junior Stanislas
Jason Steele
Jed Steer
Jack Stephens
Raheem Sterling
John Stones
Thomas Strakosha
Pascal Struijk
Crysencio Summerville
Sam Surridge
Japhet Tanganga
Matt Targett
James Tarkowski
Alan Tate
Marcus Tavernier
Dale Taylor
Lyle Taylor
Kenny Tete
Thiago
Thiago Silva
Luke Thomas
Youri Tielemans
Kieran Tierney
Harry Toffolo
Takehiro Tomiyasu
James Tomkins
Ivan Toney
Toti Gomes
Andros Townsend
Boubacar Traoré
Mark Travers
Ryan Trevitt
Kieran Trippier
Leandro Trossard
Kostas Tsimikas
Antef Tsoungui
